I_sc description
-42.564 3oduAB_INPUT_4020_0002
-30.354 3oduAB_INPUT_21965_0103
-24.283 3oduAB_INPUT_22521_0115
-23.162 3oduAB_INPUT_22601_0053
-23.031 3oduAB_INPUT_21819_0049
-22.465 3oduAB_INPUT_21980_0149
-22.040 3oduAB_INPUT_10022_0124
-21.853 3oduAB_INPUT_21965_0089
-21.399 3oduAB_INPUT_22701_0193
-21.326 3oduAB_INPUT_21819_0047
-21.319 3oduAB_INPUT_21827_0021
-21.017 3oduAB_INPUT_22631_0085
-20.816 3oduAB_INPUT_22678_0199
-20.382 3oduAB_INPUT_22610_0154
-20.268 3oduAB_INPUT_2437_0018
-20.028 3oduAB_INPUT_22048_0174
-19.993 3oduAB_INPUT_22479_0084
-19.943 3oduAB_INPUT_21781_0096
-19.631 3oduAB_INPUT_21911_0080
-19.420 3oduAB_INPUT_22521_0152
-19.303 3oduAB_INPUT_22460_0160
-19.225 3oduAB_INPUT_22003_0189
-18.992 3oduAB_INPUT_22655_0190
-18.809 3oduAB_INPUT_22460_0134
-18.723 3oduAB_INPUT_22479_0140
-18.664 3oduAB_INPUT_22678_0079
-18.505 3oduAB_INPUT_19791_0111
-18.388 3oduAB_INPUT_22601_0147
-18.378 3oduAB_INPUT_22010_0076
-18.372 3oduAB_INPUT_22631_0010
-18.349 3oduAB_INPUT_21911_0108
-18.335 3oduAB_INPUT_22479_0163
-18.144 3oduAB_INPUT_21827_0095
-18.132 3oduAB_INPUT_22655_0167
-18.121 3oduAB_INPUT_22678_0139
-17.798 3oduAB_INPUT_22010_0182
-17.789 3oduAB_INPUT_22540_0191
-17.707 3oduAB_INPUT_21942_0017
-17.459 3oduAB_INPUT_22461_0199
-17.457 3oduAB_INPUT_21957_0078
-17.337 3oduAB_INPUT_21842_0196
-17.296 3oduAB_INPUT_21988_0153
-17.178 3oduAB_INPUT_21965_0175
-17.112 3oduAB_INPUT_22563_0102
-17.027 3oduAB_INPUT_2437_0020
-16.973 3oduAB_INPUT_29796_0038
-16.778 3oduAB_INPUT_22479_0072
-16.712 3oduAB_INPUT_21919_0151
-16.712 3oduAB_INPUT_21804_0090
-16.577 3oduAB_INPUT_21781_0039
-16.308 3oduAB_INPUT_21896_0141
-16.255 3oduAB_INPUT_3717_0089
-16.244 3oduAB_INPUT_21980_0136
-16.199 3oduAB_INPUT_21988_0043
-16.115 3oduAB_INPUT_21965_0060
-16.052 3oduAB_INPUT_21873_0061
-15.901 3oduAB_INPUT_21781_0087
-15.865 3oduAB_INPUT_22479_0112
-15.773 3oduAB_INPUT_29773_0186
-15.718 3oduAB_INPUT_21934_0158
-15.700 3oduAB_INPUT_22701_0112
-15.640 3oduAB_INPUT_22026_0111
-15.611 3oduAB_INPUT_3803_0189
-15.605 3oduAB_INPUT_21911_0028
-15.584 3oduAB_INPUT_21980_0068
-15.577 3oduAB_INPUT_21911_0195
-15.400 3oduAB_INPUT_22461_0040
-15.333 3oduAB_INPUT_21735_0119
-15.241 3oduAB_INPUT_21988_0084
-15.187 3oduAB_INPUT_29773_0055
-15.131 3oduAB_INPUT_21934_0061
-15.116 3oduAB_INPUT_19791_0142
-15.115 3oduAB_INPUT_21873_0071
-15.088 3oduAB_INPUT_21965_0082
-15.079 3oduAB_INPUT_21865_0173
-15.063 3oduAB_INPUT_10022_0149
